station_id,sequence_id,sequence_index,region_type,stage_type,confirmation_status,method,confidence,profile_count,roller_count
Q1_S1,1,1,REFERENCE_GEOMETRY,REFERENCE_GEOMETRY,candidate,station_candidate,0.55,0,0
Q1_S2,1,2,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,0
Q1_S3,1,3,REFERENCE_GEOMETRY,REFERENCE_GEOMETRY,candidate,station_candidate,0.55,0,0
Q1_S4,1,4,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,6
Q1_S5,1,5,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,6
Q1_S6,1,6,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,6
Q1_S7,1,7,FINAL_PROFILE,FINAL_PROFILE,candidate,station_candidate,0.55,1,0
Q2_S1,2,1,REFERENCE_GEOMETRY,REFERENCE_GEOMETRY,candidate,station_candidate,0.55,0,0
Q2_S2,2,2,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,0
Q2_S3,2,3,REFERENCE_GEOMETRY,REFERENCE_GEOMETRY,candidate,station_candidate,0.55,0,0
Q2_S4,2,4,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S5,2,5,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S6,2,6,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S7,2,7,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S8,2,8,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S9,2,9,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S10,2,10,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S11,2,11,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,2
Q2_S12,2,12,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,5
Q2_S13,2,13,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,8
Q2_S14,2,14,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,6
Q2_S15,2,15,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,4
Q2_S16,2,16,FLOWER_PROFILE,FLOWER_PROFILE,candidate,station_candidate,0.55,1,8
Q2_S17,2,17,REFERENCE_GEOMETRY,REFERENCE_GEOMETRY,candidate,station_candidate,0.55,0,0
Q2_S18,2,18,ROLLER_DETAIL,ROLLER_DETAIL,candidate,station_candidate,0.55,0,5
Q2_S19,2,19,ROLLER_DETAIL,ROLLER_DETAIL,candidate,station_candidate,0.55,0,5
Q2_S20,2,20,REFERENCE_GEOMETRY,REFERENCE_GEOMETRY,candidate,station_candidate,0.55,0,0
Q2_S21,2,21,REFERENCE_GEOMETRY,REFERENCE_GEOMETRY,candidate,station_candidate,0.55,0,0
Q2_S22,2,22,ROLLER_DETAIL,ROLLER_DETAIL,candidate,station_candidate,0.55,0,5
Q2_S23,2,23,COMPOSITE_FLOWER,COMPOSITE_FLOWER,candidate,station_candidate,0.55,12,0
